new entry "ProjectileStrike_Placeholder"
type "SpellData"
data "SpellType" "ProjectileStrike"
data "AIFlags" "CanNotUse"
data "SpellProperties" "GROUND:Spawn(278271f9-3fbc-4cf7-a5dc-b36527f521b2,,)"
data "TargetRadius" "1"
data "AreaRadius" "3"
data "TargetProjectiles" "Yes"
data "ProjectileCount" "6"
data "ProjectileDelay" "1"
data "Angle" "90"
data "Height" "8"
data "Template" "b3d955f2-33d7-4146-98e8-8b953cbc060d"
data "Trajectories" "b3d955f2-33d7-4146-98e8-8b953cbc060d,48c3ebe8-ac38-da5b-ede4-ed0bb706ab2d"
data "DisplayName" "h1895c263g0210g4fedg9c88g473818ccb864;1"
data "CastTextEvent" "Cast"
data "ProjectileType" "Grenade"
data "Distribution" "Normal"
data "SpellAnimation" "73afb4e5-8cfe-4479-95cf-16889597fee3,,;7e67bfd0-2fc2-4d10-bed5-cfda9e660de5,,;eb054308-7fce-4b85-bf4c-7a0031fda7ac,,;0b0dc35b-4953-45c0-a9eb-8d3fef5e798a,,;6ec808e1-e128-44ef-9361-a713bf86de8f,,;b2e9c771-3497-444c-b360-23b4441985a1,,;,,;,,;,,"
data "SpellFlags" "IsTrap"

